;;;;;;;;;;;;;;;;;;;;;
41;15/12/1996;12;26;35;38;39;47;1;148;10182;17.019.238,50;10.114,70;147,03;;BA;0,00;0,00;0,00;Não;Não;GANHADOR DA CIDADE DE SALVADOR, ESTADO DA BAHIA
42;22/12/1996;7;11;19;24;33;36;0;201;9580;0,00;3.684,64;77,31;;;0,00;0,00;888.735,02;Sim;Não;
43;29/12/1996;2;6;17;25;26;58;0;75;5070;0,00;9.738,03;144,06;;;0,00;0,00;1.765.157,22;Sim;Não;
44;5/1/1997;14;18;29;38;44;47;0;103;7742;0,00;7.099,32;94,45;;;0,00;0,00;2.642.633,14;Sim;Não;
45;12/1/1997;7;30;37;44;53;55;0;33;3004;0,00;27.201,47;298,82;;;0,00;0,00;3.719.811,46;Sim;Não;
46;19/01/1997;1;23;24;32;46;60;0;91;6263;0,00;9.982,42;145,04;;;0,00;0,00;4.809.891,56;Sim;Não;
47;26/01/1997;3;17;25;35;48;56;0;210;10873;0,00;4.458,44;85,94;;;0,00;0,00;5.933.418,51;Sim;Não;
48;2/2/1997;2;5;28;34;47;50;0;132;7454;0,00;7.482,95;132,25;;;0,00;0,00;7.118.717,38;Sim;Não;
49;9/2/1997;7;13;33;35;43;55;1;155;9830;8.405.156,76;6.916,34;108,85;;RJ;0,00;0,00;0,00;Não;Não;Ganhador RJ (Barra Mansa)
50;16/02/1997;6;16;21;44;57;58;0;31;2800;0,00;25.241,25;278,91;;;0,00;0,00;8.917.830,39;Sim;Não;
51;23/02/1997;17;23;24;25;42;47;0;143;9361;0,00;7.231,47;110,25;;;0,00;0,00;10.158.749,73;Sim;Não;
52;2/3/1997;15;30;38;46;58;59;0;77;6442;0,00;15.544,23;185,43;;;0,00;0,00;11.595.036,71;Sim;Não;
53;9/3/1997;3;13;16;38;42;46;0;210;10941;0,00;6.337,79;121,41;;;0,00;0,00;13.192.159,46;Sim;Não;
54;16/03/1997;5;9;18;21;36;56;2;207;13067;7.469.653,99;7.033,61;111,20;;BA;0,00;0,00;0,00;Não;Não;Ganhadores dos estados: BA e SP.
55;23/03/1997;2;14;23;29;38;52;0;66;3840;0,00;10.817,63;185,56;;;0,00;0,00;856.756,39;Sim;Não;
56;30/03/1997;2;7;20;35;51;59;0;48;2599;0,00;12.142,20;223,81;;;0,00;0,00;1.556.147,46;Sim;Não;
57;6/4/1997;7;16;17;27;34;59;0;79;6173;0,00;10.699,10;136,65;;;0,00;0,00;2.570.421,80;Sim;Não;
58;13/04/1997;12;27;30;37;44;49;1;65;5040;3.631.304,91;13.601,07;175,06;;SP;0,00;0,00;0,00;Não;Não;Ganhador do Estado: SP
